GeneID	Expression_1	Expression_2	Significant
G0883	7.71205	8.68792	no
G0884	2.303	2.63141	no
G0885	6.57775	6.03979	no
G0886	7.11075	8.98537	no
G0887	3.91078	3.09381	no
G0888	3.94823	3.08541	no
G0889	12.7088	11.5509	no
G0890	5.25105	3.94481	no
G0891	67.7191	82.1746	no
G0892	13.7782	16.1924	no
G0893	13.3331	10.2774	no
G0894	8.79095	9.64174	no
G0895	9.15002	7.71529	no
G0896	3.99784	3.48776	no
G0897	179.017	201.034	no
G0898	2.5689	2.78722	no
G0899	9.95022	9.3774	no
G0900	3.17091	3.44585	no
G0901	1410.84	1313.34	no
G0902	6.13442	6.11405	no
G0903	7.24119	8.88768	no
G0904	1.63657	1.21164	no
G0905	22.4749	29.0029	no
G0906	1.97136	1.72099	no
G0907	7.39659	5.84464	no
G0908	29.8933	39.462	no
G0909	21.6465	19.5036	no
G0910	1.24694	1.38694	no
G0911	43.1489	47.7271	no
G0912	40.9991	55.7463	no
G0913	11.826	9.21881	no
G0914	12.1737	11.9552	no
G0915	25.8192	27.8173	no
G0916	22.1472	29.9377	no
G0917	24.1608	28.626	no
G0918	10.7837	12.3652	no
G0919	4.27299	4.03874	no
G0920	30.1555	41.1861	no
G0921	27.205	35.0453	no
G0922	9.43225	9.66652	no
G0923	4.10663	5.51545	no
G0924	5.29288	5.68732	no
G0925	14.7363	12.8716	no
G0926	6.356	6.40143	no
G0927	20.5926	15.0062	no
G0928	1.93002	1.68429	no
G0929	106.823	123.307	no
G0930	3.39592	3.5529	no
G0931	3.39833	3.34674	no
G0932	12.2352	14.9813	no
G0933	4.07456	5.59391	no
G0934	26.4748	30.7492	no
G0935	13.618	16.2298	no
G0936	26.658	22.8324	no
G0937	8.58814	11.7458	no
G0938	56.4027	74.1521	no
G0939	26.4347	24.1207	no
G0940	9.25922	6.73088	no
G0941	6.35018	5.72236	no
G0942	3558.33	3593.5	no
G0943	4.39534	6.00931	no
G0944	5.34484	4.76536	no
G0945	48.1259	4.85973	yes
G0946	31.8832	30.1904	no
G0947	10.428	12.8104	no
G0948	8.48153	10.2351	no
G0949	3.81513	4.79017	no
G0950	5.26163	5.43743	no
G0951	17.6495	15.4419	no
G0952	4.41928	5.78992	no
G0953	1.27535	1.51086	no
G0954	5.26686	3.79361	no
G0955	14.7104	12.9976	no
G0956	22.9845	22.3383	no
G0957	40.3469	38.6944	no
G0958	35.4004	43.926	no
G0959	4.51872	4.52785	no
G0960	9.32463	9.18177	no
G0961	14.7527	16.235	no
G0962	7.21256	10.0731	no
G0963	8.72857	6.81911	no
G0964	34.1318	42.1791	no
G0965	17.5479	14.7518	no
G0966	16.3585	15.3085	no
G0967	8.84962	6.47773	no
G0968	14.2361	10.5234	no
G0969	7.49722	8.25389	no
G0970	4.83813	5.99382	no
G0971	1.46194	1.27961	no
G0972	11.6695	15.6884	no
G0973	20.3117	20.297	no
G0974	6.04158	6.32563	no
G0975	5.47118	5.55553	no
G0976	4.4847	3.41225	no
G0977	124.928	137.247	no
G0978	52.1349	37.9291	no
G0979	32.8659	40.2086	no
G0980	6.10468	4.96487	no
G0981	48.3909	34.9524	no
G0982	3.45475	2.68175	no
G0983	7.33619	7.60583	no
G0984	31.1031	30.8896	no
G0985	11.85	9.91733	no
G0986	9.97565	10.3864	no
G0987	31.8746	28.2429	no
G0988	41.5292	48.3543	no
G0989	17.1313	18.0586	no
G0990	49.213	51.8159	no
G0991	9.84704	10.7424	no
G0992	12.1098	12.6859	no
G0993	4.50516	5.39078	no
G0994	34.621	46.1692	no
G0995	15.0502	16.3545	no
G0996	8.72897	7.41492	no
G0997	5.83667	5.41993	no
G0998	7.26776	9.92433	no
G0999	6.09292	4.71821	no
